n_estimators,max_features,max_depth,min_samples_split,min_samples_leaf,bootstrap,criterion,norm_out
50,log2,10,2,1,True,squared_error,0
50,log2,10,2,1,True,absolute_error,0
50,log2,10,2,2,True,squared_error,0
50,log2,10,2,2,True,absolute_error,0
50,log2,10,5,1,True,squared_error,0
50,log2,10,5,1,True,absolute_error,0
50,log2,10,5,2,True,squared_error,0
50,log2,10,5,2,True,absolute_error,0
50,log2,20,2,1,True,squared_error,0
50,log2,20,2,1,True,absolute_error,0
50,log2,20,2,2,True,squared_error,0
50,log2,20,2,2,True,absolute_error,0
50,log2,20,5,1,True,squared_error,0
50,log2,20,5,1,True,absolute_error,0
50,log2,20,5,2,True,squared_error,0
50,log2,20,5,2,True,absolute_error,0
50,log2,30,2,1,True,squared_error,0
50,log2,30,2,1,True,absolute_error,0
50,log2,30,2,2,True,squared_error,0
50,log2,30,2,2,True,absolute_error,0
50,log2,30,5,1,True,squared_error,0
50,log2,30,5,1,True,absolute_error,0
50,log2,30,5,2,True,squared_error,0
50,log2,30,5,2,True,absolute_error,0
50,log2,40,2,1,True,squared_error,0
50,log2,40,2,1,True,absolute_error,0
50,log2,40,2,2,True,squared_error,0
50,log2,40,2,2,True,absolute_error,0
50,log2,40,5,1,True,squared_error,0
50,log2,40,5,1,True,absolute_error,0
50,log2,40,5,2,True,squared_error,0
50,log2,40,5,2,True,absolute_error,0
50,log2,50,2,1,True,squared_error,0
50,log2,50,2,1,True,absolute_error,0
50,log2,50,2,2,True,squared_error,0
50,log2,50,2,2,True,absolute_error,0
50,log2,50,5,1,True,squared_error,0
50,log2,50,5,1,True,absolute_error,0
50,log2,50,5,2,True,squared_error,0
50,log2,50,5,2,True,absolute_error,0
50,sqrt,10,2,1,True,squared_error,0
50,sqrt,10,2,1,True,absolute_error,0
50,sqrt,10,2,2,True,squared_error,0
50,sqrt,10,2,2,True,absolute_error,0
50,sqrt,10,5,1,True,squared_error,0
50,sqrt,10,5,1,True,absolute_error,0
50,sqrt,10,5,2,True,squared_error,0
50,sqrt,10,5,2,True,absolute_error,0
50,sqrt,20,2,1,True,squared_error,0
50,sqrt,20,2,1,True,absolute_error,0
50,sqrt,20,2,2,True,squared_error,0
50,sqrt,20,2,2,True,absolute_error,0
50,sqrt,20,5,1,True,squared_error,0
50,sqrt,20,5,1,True,absolute_error,0
50,sqrt,20,5,2,True,squared_error,0
50,sqrt,20,5,2,True,absolute_error,0
50,sqrt,30,2,1,True,squared_error,0
50,sqrt,30,2,1,True,absolute_error,0
50,sqrt,30,2,2,True,squared_error,0
50,sqrt,30,2,2,True,absolute_error,0
