n_estimators,learning_rate,max_depth,objective,alpha,lambda1,norm_out
50,0.01,10,reg:squarederror,0.1,0.1,0
50,0.01,10,reg:squarederror,0.1,0.2,0
50,0.01,10,reg:squarederror,0.2,0.1,0
50,0.01,10,reg:squarederror,0.2,0.2,0
50,0.01,20,reg:squarederror,0.1,0.1,0
50,0.01,20,reg:squarederror,0.1,0.2,0
50,0.01,20,reg:squarederror,0.2,0.1,0
50,0.01,20,reg:squarederror,0.2,0.2,0
50,0.01,30,reg:squarederror,0.1,0.1,0
50,0.01,30,reg:squarederror,0.1,0.2,0
50,0.01,30,reg:squarederror,0.2,0.1,0
50,0.01,30,reg:squarederror,0.2,0.2,0
50,0.01,40,reg:squarederror,0.1,0.1,0
50,0.01,40,reg:squarederror,0.1,0.2,0
50,0.01,40,reg:squarederror,0.2,0.1,0
50,0.01,40,reg:squarederror,0.2,0.2,0
50,0.01,50,reg:squarederror,0.1,0.1,0
50,0.01,50,reg:squarederror,0.1,0.2,0
50,0.01,50,reg:squarederror,0.2,0.1,0
50,0.01,50,reg:squarederror,0.2,0.2,0
50,0.005,10,reg:squarederror,0.1,0.1,0
50,0.005,10,reg:squarederror,0.1,0.2,0
50,0.005,10,reg:squarederror,0.2,0.1,0
50,0.005,10,reg:squarederror,0.2,0.2,0
50,0.005,20,reg:squarederror,0.1,0.1,0
50,0.005,20,reg:squarederror,0.1,0.2,0
50,0.005,20,reg:squarederror,0.2,0.1,0
50,0.005,20,reg:squarederror,0.2,0.2,0
50,0.005,30,reg:squarederror,0.1,0.1,0
50,0.005,30,reg:squarederror,0.1,0.2,0
50,0.005,30,reg:squarederror,0.2,0.1,0
50,0.005,30,reg:squarederror,0.2,0.2,0
50,0.005,40,reg:squarederror,0.1,0.1,0
50,0.005,40,reg:squarederror,0.1,0.2,0
50,0.005,40,reg:squarederror,0.2,0.1,0
50,0.005,40,reg:squarederror,0.2,0.2,0
50,0.005,50,reg:squarederror,0.1,0.1,0
50,0.005,50,reg:squarederror,0.1,0.2,0
50,0.005,50,reg:squarederror,0.2,0.1,0
50,0.005,50,reg:squarederror,0.2,0.2,0
100,0.01,10,reg:squarederror,0.1,0.1,0
100,0.01,10,reg:squarederror,0.1,0.2,0
100,0.01,10,reg:squarederror,0.2,0.1,0
100,0.01,10,reg:squarederror,0.2,0.2,0
100,0.01,20,reg:squarederror,0.1,0.1,0
100,0.01,20,reg:squarederror,0.1,0.2,0
100,0.01,20,reg:squarederror,0.2,0.1,0
100,0.01,20,reg:squarederror,0.2,0.2,0
100,0.01,30,reg:squarederror,0.1,0.1,0
100,0.01,30,reg:squarederror,0.1,0.2,0
100,0.01,30,reg:squarederror,0.2,0.1,0
100,0.01,30,reg:squarederror,0.2,0.2,0
100,0.01,40,reg:squarederror,0.1,0.1,0
100,0.01,40,reg:squarederror,0.1,0.2,0
100,0.01,40,reg:squarederror,0.2,0.1,0
100,0.01,40,reg:squarederror,0.2,0.2,0
100,0.01,50,reg:squarederror,0.1,0.1,0
100,0.01,50,reg:squarederror,0.1,0.2,0
100,0.01,50,reg:squarederror,0.2,0.1,0
100,0.01,50,reg:squarederror,0.2,0.2,0
100,0.005,10,reg:squarederror,0.1,0.1,0
100,0.005,10,reg:squarederror,0.1,0.2,0
100,0.005,10,reg:squarederror,0.2,0.1,0
100,0.005,10,reg:squarederror,0.2,0.2,0
100,0.005,20,reg:squarederror,0.1,0.1,0
100,0.005,20,reg:squarederror,0.1,0.2,0
100,0.005,20,reg:squarederror,0.2,0.1,0
100,0.005,20,reg:squarederror,0.2,0.2,0
100,0.005,30,reg:squarederror,0.1,0.1,0
100,0.005,30,reg:squarederror,0.1,0.2,0
100,0.005,30,reg:squarederror,0.2,0.1,0
100,0.005,30,reg:squarederror,0.2,0.2,0
100,0.005,40,reg:squarederror,0.1,0.1,0
100,0.005,40,reg:squarederror,0.1,0.2,0
100,0.005,40,reg:squarederror,0.2,0.1,0
100,0.005,40,reg:squarederror,0.2,0.2,0
100,0.005,50,reg:squarederror,0.1,0.1,0
100,0.005,50,reg:squarederror,0.1,0.2,0
100,0.005,50,reg:squarederror,0.2,0.1,0
100,0.005,50,reg:squarederror,0.2,0.2,0
200,0.01,10,reg:squarederror,0.1,0.1,0
200,0.01,10,reg:squarederror,0.1,0.2,0
200,0.01,10,reg:squarederror,0.2,0.1,0
200,0.01,10,reg:squarederror,0.2,0.2,0
200,0.01,20,reg:squarederror,0.1,0.1,0
200,0.01,20,reg:squarederror,0.1,0.2,0
200,0.01,20,reg:squarederror,0.2,0.1,0
200,0.01,20,reg:squarederror,0.2,0.2,0
200,0.01,30,reg:squarederror,0.1,0.1,0
200,0.01,30,reg:squarederror,0.1,0.2,0
200,0.01,30,reg:squarederror,0.2,0.1,0
200,0.01,30,reg:squarederror,0.2,0.2,0
200,0.01,40,reg:squarederror,0.1,0.1,0
200,0.01,40,reg:squarederror,0.1,0.2,0
200,0.01,40,reg:squarederror,0.2,0.1,0
200,0.01,40,reg:squarederror,0.2,0.2,0
200,0.01,50,reg:squarederror,0.1,0.1,0
200,0.01,50,reg:squarederror,0.1,0.2,0
200,0.01,50,reg:squarederror,0.2,0.1,0
200,0.01,50,reg:squarederror,0.2,0.2,0
200,0.005,10,reg:squarederror,0.1,0.1,0
200,0.005,10,reg:squarederror,0.1,0.2,0
200,0.005,10,reg:squarederror,0.2,0.1,0
200,0.005,10,reg:squarederror,0.2,0.2,0
200,0.005,20,reg:squarederror,0.1,0.1,0
200,0.005,20,reg:squarederror,0.1,0.2,0
200,0.005,20,reg:squarederror,0.2,0.1,0
200,0.005,20,reg:squarederror,0.2,0.2,0
200,0.005,30,reg:squarederror,0.1,0.1,0
200,0.005,30,reg:squarederror,0.1,0.2,0
200,0.005,30,reg:squarederror,0.2,0.1,0
200,0.005,30,reg:squarederror,0.2,0.2,0
200,0.005,40,reg:squarederror,0.1,0.1,0
200,0.005,40,reg:squarederror,0.1,0.2,0
200,0.005,40,reg:squarederror,0.2,0.1,0
200,0.005,40,reg:squarederror,0.2,0.2,0
200,0.005,50,reg:squarederror,0.1,0.1,0
200,0.005,50,reg:squarederror,0.1,0.2,0
200,0.005,50,reg:squarederror,0.2,0.1,0
200,0.005,50,reg:squarederror,0.2,0.2,0
300,0.01,10,reg:squarederror,0.1,0.1,0
300,0.01,10,reg:squarederror,0.1,0.2,0
300,0.01,10,reg:squarederror,0.2,0.1,0
300,0.01,10,reg:squarederror,0.2,0.2,0
300,0.01,20,reg:squarederror,0.1,0.1,0
300,0.01,20,reg:squarederror,0.1,0.2,0
300,0.01,20,reg:squarederror,0.2,0.1,0
300,0.01,20,reg:squarederror,0.2,0.2,0
300,0.01,30,reg:squarederror,0.1,0.1,0
300,0.01,30,reg:squarederror,0.1,0.2,0
300,0.01,30,reg:squarederror,0.2,0.1,0
300,0.01,30,reg:squarederror,0.2,0.2,0
300,0.01,40,reg:squarederror,0.1,0.1,0
300,0.01,40,reg:squarederror,0.1,0.2,0
300,0.01,40,reg:squarederror,0.2,0.1,0
