,0,1,2,3,4,5,6,7,8,9
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
101,1.411824391583953,1.3117251088235886,1.0711868632869515,0.6247582447261877,0.5601723871136061,0.9806057721873765,0.8585752748767185,1.0490035871181755,1.6815611473830907,1.725619543677629
301,0.4685766421712127,0.7345082172520233,0.8346210009198163,0.3945974371585449,0.5679559256227126,0.4524164807002149,0.6377499089227336,0.9213083130484742,0.5461833820641643,0.4451681711994494
501,0.5796113305218303,0.688687365965746,0.49073511850309176,0.48232771872891644,0.9293146555315849,0.37035738723003103,0.3740657726765476,0.4796276544710742,0.874014462122718,0.7603465107662649
