,0,1,2,3,4,5,6,7,8,9
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
101,8.145840985797888,5.8372169383488535,4.659164050839771,6.65407137927312,5.89369027918091,12.01655903943983,4.951422337319358,21.281312283134064,11.660930086593053,23.349899466254424
301,9.341850626956264,5.300175754686841,4.98546110327082,8.885169607101064,8.019965172222737,4.0121195131194485,2.618200551999175,9.982281218518578,9.373738252461374,12.341062861573164
501,10.414386893158598,8.424172838345731,9.347309115744526,8.42477618531694,10.058182823362932,8.75615894251239,7.6320666391183165,10.686464166483463,7.943159618088813,8.868260682963516
