,0,1,2,3,4,5,6,7,8,9
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
101,7.729724468832915,7.897244017144515,7.50380621345094,6.908650236986809,8.694796529490551,5.569236284524445,9.569447752954213,7.922818712244231,9.30619688088586,7.306796947016796
301,7.150650434631554,13.56410778697857,7.193562289496353,7.135236975405013,10.758625129466644,18.20018008967756,8.611287382575876,7.998146871275278,9.771729858547568,12.729929720691866
501,7.848296660697626,6.4091487703612025,7.119999555340091,8.568682418113674,9.588778841455401,8.721472940886521,7.43412793447532,11.124765139970407,10.467808239026674,10.552281185198751
