,0,1,2,3,4,5,6,7,8,9
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
101,0.4855019808976886,0.43882122080977637,0.37554560204431914,0.5272209158787305,0.39201135865016074,0.5125032846730262,0.4396533571377778,0.2623165526689749,0.34135903638117204,0.3854098260874446
301,0.0923699226494131,0.12995111095700887,0.0756713001167777,0.12345102635478844,0.38616174988032775,0.29819460604181897,0.1630221835374229,0.13149539454528245,0.12573009634470347,0.12286691683905089
501,0.11884079692846435,0.08705011682182093,0.10164206065140291,0.06012941159318475,0.1076842867051523,0.13895525304944892,0.1320761276293362,0.11181619683021231,0.30412319593569487,0.14191483020684031
