,0,1,2,3,4,5,6,7,8,9
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
101,6.492341110115845,9.045087506790066,8.438502008152367,6.498307170307264,5.577326959660978,13.195682987421778,9.394909246144438,9.099683556757947,5.567091403333815,5.553605936858879
301,15.16506290978917,16.34594020673442,15.170306553531082,14.830739751301666,19.19410357873336,19.317681021307646,18.740784568962845,11.112625664554017,13.659852893967152,25.515944981116192
501,16.618079940735413,11.97623206561425,14.850000831479143,13.164051523827018,11.116597515177588,17.966954191712063,17.89067397407199,13.701338118360434,12.164619133934167,14.595364543680219
