,exposed_0,naive_0,exposed_1,naive_1,exposed_2,naive_2
LM,3.770967960357666,3.84299898147583,3.538917064666748,3.893183946609497,3.811893939971924,4.042887926101685
FFNN,74.3366379737854,104.98061800003052,84.34911012649536,97.93345975875854,49.18784403800965,95.65541195869446
RF,9.82764816,11.36734772,11.56781006,14.28305817,15.32949066,18.4515152
XGBR,33.409262895584106,39.298497915267944,11.283544063568115,5.348222970962524,31.17581295967102,117.76161313056946
CNN,9.943448781967165,9.923567056655884,17.128039121627808,16.328691959381104,8.11960482597351,23.32917284965515
CNNLSTM,92.4163727760315,116.32131600379944,94.44424104690552,109.07015204429626,24.071215867996216,57.068583965301514
convLSTM,215.89751815795896,652.7246339321136,346.1419861316681,118.1777210235596,183.857271194458,267.91346716880798
VRNN,72.9440279006958,45.1678261756897,286.9080739021301,68.79923295974731,121.70283102989195,295.97630620002747
LSTM,31.29105305671692,37.8995897769928,96.6538541316986,119.6837649345398,151.68745684623718,182.21223092079163
GRU,109.44813299179076,307.20838022232056,145.66265082359314,330.0067250728607,360.33676505088806,40.736802101135254
